id,Location,Name,Rst_Page,Rank,Lunch_Budget,Dinner_Budget,Lat,Lng,Open_Date,Konzatsu
0,Shibuya_Station,コラボ・カフェ,https://tabelog.com/tokyo/A1303/A130301/13031560/,3.02, ～￥999, ～￥999,35.658698943358814,139.699192316585,0,0
1,Shibuya_Station,ペルズ コーヒースタンド,https://tabelog.com/tokyo/A1303/A130301/13223668/,3.04, ～￥999,-,35.65861363871201,139.70875018419645,2018-06-04,0
2,Shibuya_Station,BOOK LAB TOKYO,https://tabelog.com/tokyo/A1303/A130301/13197256/,3.00, ～￥999,-,35.65815618840237,139.6971752868661,2016-06-25,0
3,Shibuya_Station,SHIBUYA COFFEE,https://tabelog.com/tokyo/A1303/A130301/13201462/,3.00, ～￥999, ～￥999,35.66124810828073,139.69879945406598,0,0
4,Shibuya_Station,Bird,https://tabelog.com/tokyo/A1303/A130303/13179416/,3.18,-, ～￥999,35.65168093871513,139.70469798412918,2015-03-01,0
5,Shibuya_Station,珈琲貴族 渋谷店,https://tabelog.com/tokyo/A1303/A130301/13039748/,3.08,"￥1,000～￥1,999","￥1,000～￥1,999",35.66024463054663,139.70029048754876,0,0
6,Shibuya_Station,ストリーマーエスプレッソ 渋谷modi,https://tabelog.com/tokyo/A1303/A130301/13189438/,3.07, ～￥999, ～￥999,35.6615025554534,139.70051374442357,2015-11-19,0
7,Shibuya_Station,カフェ キャリオカ,https://tabelog.com/tokyo/A1303/A130301/13203817/,3.02, ～￥999,-,35.656532478873906,139.69750089013885,0,0
8,Shibuya_Station,ドトールコーヒーショップ 渋谷センター街店,https://tabelog.com/tokyo/A1303/A130301/13111180/,3.06, ～￥999, ～￥999,35.66022487103963,139.69836908921846,0,0
9,Shibuya_Station,星乃珈琲店 109MEN'S店,https://tabelog.com/tokyo/A1303/A130301/13130132/,3.09,"￥1,000～￥1,999","￥1,000～￥1,999",35.65974830510364,139.70088351670546,0,0
10,Shibuya_Station,マッドコーヒー MUD SPOT渋谷1,https://tabelog.com/tokyo/A1303/A130301/13137346/,3.05,"￥1,000～￥1,999",-,35.65686474569562,139.7020888271459,0,0
11,Shibuya_Station,サンマルクカフェ 渋谷道玄坂店,https://tabelog.com/tokyo/A1303/A130301/13168224/,3.06, ～￥999,-,35.65919220137736,139.69790101222804,0,0
12,Shibuya_Station,ザ ローカル,https://tabelog.com/tokyo/A1303/A130301/13193101/,3.10, ～￥999, ～￥999,35.66036028690535,139.7067696663509,2016-03-10,0
13,Shibuya_Station,ダブルトールコーヒーバー 渋谷cocoti店,https://tabelog.com/tokyo/A1303/A130301/13201552/,3.10, ～￥999, ～￥999,35.661968620677925,139.7026308130706,0,0
14,Shibuya_Station,24/7 KIOSK,https://tabelog.com/tokyo/A1303/A130301/13167276/,3.06, ～￥999, ～￥999,35.653110758732026,139.70529206729128,2014-02-03,0
15,Shibuya_Station,シャルマン 本店,https://tabelog.com/tokyo/A1303/A130301/13086674/,3.06, ～￥999,-,35.65998289999483,139.6950303808956,0,0
16,Shibuya_Station,Roasted COFFEE LABORATORY 東急東横店,https://tabelog.com/tokyo/A1303/A130301/13211640/,3.08, ～￥999, ～￥999,35.65866425418968,139.70087217866956,2017-09-01,0
17,Shibuya_Station,Wine & Cafe Sai,https://tabelog.com/tokyo/A1303/A130301/13163276/,3.06,"￥1,000～￥1,999","￥3,000～￥3,999",35.65816011499053,139.699357605444,2013-10-22,0
18,Shibuya_Station,青山壹番館 渋谷店,https://tabelog.com/tokyo/A1303/A130301/13013016/,3.08, ～￥999,-,35.657077880081104,139.70790694525022,0,0
19,Shibuya_Station,エクセルシオール カフェ  渋谷道玄坂店,https://tabelog.com/tokyo/A1303/A130301/13050554/,3.06, ～￥999, ～￥999,35.659195555543846,139.69911424464814,0,0
20,Shibuya_Station,キャピタルコーヒー 東急百貨店本店,https://tabelog.com/tokyo/A1303/A130301/13175222/,3.04,"￥1,000～￥1,999",-,35.660414809555604,139.69567808499528,0,0
21,Shibuya_Station,ストリーマー コーヒーカンパニー,https://tabelog.com/tokyo/A1303/A130301/13109635/,3.55, ～￥999, ～￥999,35.66343601931704,139.70392337223413,2010-04-22,0
22,Shibuya_Station,コーヒーハウス ニシヤ,https://tabelog.com/tokyo/A1303/A130301/13160517/,3.61,"￥1,000～￥1,999", ～￥999,35.657204811846306,139.70795832402752,2013-09-17,0
23,Shibuya_Station,タリーズコーヒー 渋谷東急本店前店,https://tabelog.com/tokyo/A1303/A130301/13086704/,3.06, ～￥999, ～￥999,35.660007358410894,139.6959800231236,0,0
